kitchen,1341047934,1
kitchen,1341047964,0
kitchen,1341047964,0
kitchen,1341047964,0
kitchen,1341048028,0
kitchen,1341048028,0
kitchen,1341048044,1
kitchen,1341048044,1
kitchen,1341048099,0
kitchen,1341048099,0
kitchen,1341048139,1
kitchen,1341048139,1
kitchen,1341048188,0
kitchen,1341048189,0
kitchen,1341048268,1
kitchen,1341048269,1
kitchen,1341048318,0
kitchen,1341048318,0
kitchen,1341048404,1
kitchen,1341048405,1
kitchen,1341048434,0
kitchen,1341048434,0
kitchen,1341048503,1
kitchen,1341048503,1
kitchen,1341048538,0
kitchen,1341048538,0
kitchen,1341048541,1
kitchen,1341048541,1
kitchen,1341048577,0
kitchen,1341048577,0
kitchen,1341048675,1
kitchen,1341048675,1
kitchen,1341048714,0
kitchen,1341048714,0
kitchen,1341048855,1
kitchen,1341048855,1
kitchen,1341048895,0
kitchen,1341048895,0
kitchen,1341049019,1
kitchen,1341049072,1
kitchen,1341049073,1
kitchen,1341049122,0
kitchen,1341049122,0
kitchen,1341049299,1
kitchen,1341049602,0
kitchen,1341049603,0
kitchen,1341049681,1
kitchen,1341049730,0
kitchen,1341049781,1
master,1336402247,0
basement,1336402294,1
basement,1336402294,1
basement,1336402360,0
basement,1336402360,0
kitchen,1339885566,1
kitchen,1339885566,1
livingroom,1339885585,0
livingroom,1339885585,0
kitchen,1339885610,0
livingroom,1339885611,1
kitchen,1339885647,1
kitchen,1339885647,1
livingroom,1339885660,0
livingroom,1339885660,0
kitchen,1339885677,0
kitchen,1339885677,0
kitchen,1339885704,1
kitchen,1339885704,1
kitchen,1339885734,0
kitchen,1339885734,0
kitchen,1339885785,1
kitchen,1339885786,1
livingroom,1339885806,1
livingroom,1339885807,1
kitchen,1339885815,0
kitchen,1339885815,0
livingroom,1339885836,0
livingroom,1339885836,0
kitchen,1339885868,1
master,1336405964,1
master,1336405964,1
master,1336406004,0
master,1336406004,0
master,1336406082,1
master,1336406083,1
master,1336406117,0
master,1336406117,0
master,1336406188,1
master,1336406189,1
master,1336406318,0
master,1336406318,0
basement,1336427517,1
basement,1336427517,1
basement,1336427567,0
basement,1336427567,0
master,1336434560,1
master,1336434560,1
master,1336434609,0
master,1336434610,0
master,1336435380,1
master,1336435380,1